nctId,facility,status,nome,estado,zip,country,codigo_6d,codigo_ibge,latitude,longitude
NCT05296798,Pronutrir - suporte nutricional e quimioterapia ltda.,RECRUITING,Fortaleza,CE,60810-180,Brazil,230440.0,2304400.0,-3.71664,-38.5423
NCT05296798,Hospital Sao Rafael - HSR,RECRUITING,Salvador,BA,41253-190,Brazil,292740.0,2927408.0,-12.9718,-38.5011
NCT05296798,Hospital Araujo Jorge,RECRUITING,Goiania,GO,74605-070,Brazil,520870.0,5208707.0,-16.6864,-49.2643
NCT05296798,Hospital do Câncer de Londrina,ACTIVE_NOT_RECRUITING,Londrina,PR,86015-520,Brazil,411370.0,4113700.0,-23304.0,-51.1691
NCT05296798,Hospital do Cancer de Pernambuco - HCP,RECRUITING,Recife,PE,50040-000,Brazil,261160.0,2611606.0,-8.04666,-34.8771
NCT05296798,Oncosite - Centro de Pesquisa Clinica Em Oncologia Ltda,ACTIVE_NOT_RECRUITING,Ijui,RS,98700-000,Brazil,431020.0,4310207.0,-28388.0,-53.92
NCT05296798,Hospital Nossa Senhora da Conceicao,RECRUITING,Porto Alegre,RS,91350-200,Brazil,431490.0,4314902.0,-30.0318,-51.2065
NCT05296798,Hospital de Amor Amazônia,ACTIVE_NOT_RECRUITING,Porto Velho,RO,76834-899,Brazil,110020.0,1100205.0,-8.76077,-63.8999
NCT05296798,Fundação Pio XII Hospital de Câncer de Barretos,ACTIVE_NOT_RECRUITING,Barretos,SP,14784-400,Brazil,350550.0,3505500.0,-20.5531,-48.5698
NCT05296798,Instituto do Cancer do Estado de Sao Paulo - ICESP,WITHDRAWN,Sao Paulo,SP,01246-000,Brazil,355030.0,3550308.0,-23.5329,-46.6395
NCT05296798,Clinica de Pesquisa e Centro de Estudos em Oncologia Ginecologica e Mamaria Ltda,ACTIVE_NOT_RECRUITING,Sao Paulo,SP,01317-001,Brazil,355030.0,3550308.0,-23.5329,-46.6395
NCT06162572,Hospital de Amor - Barretos,NOT_YET_RECRUITING,Barretos,SP,14784-400,Brazil,350550.0,3505500.0,-20.5531,-48.5698
NCT06162572,Supera Oncologia,RECRUITING,Chapeco,SC,89812618,Brazil,420420.0,4204202.0,-27.1004,-52.6152
NCT06162572,CIONC,RECRUITING,Curitiba,PR,80810-050,Brazil,410690.0,4106902.0,-25.4195,-49.2646
NCT06162572,ONCOSITE,NOT_YET_RECRUITING,Ijui,RS,98700-000,Brazil,431020.0,4310207.0,-28388.0,-53.92
NCT06162572,Liga Contra O Cancer - Natal,RECRUITING,Natal,RN,59035-055,Brazil,240810.0,2408102.0,-5.79357,-35.1986
NCT06162572,Santa Casa de Porto Alegre,RECRUITING,Porto Alegre,RS,90020-090,Brazil,431490.0,4314902.0,-30.0318,-51.2065
NCT06162572,Hospital São Lucas Da Pucrs,RECRUITING,Porto Alegre,RS,90619-900,Brazil,431490.0,4314902.0,-30.0318,-51.2065
NCT06162572,Oncoclinicas Rj,RECRUITING,Rio de Janeiro,RJ,22250-905,Brazil,330455.0,3304557.0,-22.9129,-43.2003
NCT06162572,Icesp - Instituto Do Câncer Do Estado de São Paulo,NOT_YET_RECRUITING,Sao Paulo,SP,01246-000,Brazil,355030.0,3550308.0,-23.5329,-46.6395
NCT06162572,Hospital A C Camargo,NOT_YET_RECRUITING,Sao Paulo,SP,01509-010,Brazil,355030.0,3550308.0,-23.5329,-46.6395
NCT06162572,Hospital São Camilo,RECRUITING,Sao Paulo,SP,03102-002,Brazil,355030.0,3550308.0,-23.5329,-46.6395
NCT06162572,Oncoclinicas Sp,RECRUITING,Sao Paulo,SP,04538-132,Brazil,355030.0,3550308.0,-23.5329,-46.6395
NCT06162572,Hospital Albert Einstein,NOT_YET_RECRUITING,Sao Paulo,SP,05652-900,Brazil,355030.0,3550308.0,-23.5329,-46.6395
NCT04622956,Instituto Nacional de Câncer José Alencar Gomes Da Silva - Inca,RECRUITING,Rio de Janeiro,RJ,,Brazil,330455.0,3304557.0,-22.9129,-43.2003
NCT04622956,Centro de Hematologia e Hemoterapia - HEMOCENTRO,RECRUITING,Campinas,SP,,Brazil,350950.0,3509502.0,-22.9053,-47.0659
NCT04622956,Hospital Amaral Carvalho / Fundação Dr. Amaral Carvalho,RECRUITING,Jau,SP,,Brazil,352530.0,3525300.0,-22.2936,-48.5592
NCT04622956,Hospital das Clinicas da Universidade de Sao Paulo,RECRUITING,Sao Paulo,SP,05403-000,Brazil,355030.0,3550308.0,-23.5329,-46.6395
NCT05552976,Local Institution - 0121,ACTIVE_NOT_RECRUITING,Salvador,BA,41253-190,Brazil,292740.0,2927408.0,-12.9718,-38.5011
NCT05552976,Local Institution - 0076,COMPLETED,Porto Alegre,RS,90470-340,Brazil,431490.0,4314902.0,-30.0318,-51.2065
NCT05552976,Local Institution - 0085,ACTIVE_NOT_RECRUITING,Sao Paulo,SP,01509-010,Brazil,355030.0,3550308.0,-23.5329,-46.6395
NCT05552976,Local Institution - 0075,ACTIVE_NOT_RECRUITING,Rio de Janeiro,RJ,20775-001,Brazil,330455.0,3304557.0,-22.9129,-43.2003
NCT05552976,Local Institution - 0086,WITHDRAWN,Rio de Janeiro,RJ,22250-905,Brazil,330455.0,3304557.0,-22.9129,-43.2003
NCT05552976,Local Institution - 0073,ACTIVE_NOT_RECRUITING,Sao Paulo,SP,04537-080,Brazil,355030.0,3550308.0,-23.5329,-46.6395
NCT06952504,IBCC - Instituto Brasileiro de Controle do Câncer ( Site 0525),RECRUITING,Sao Paulo,SP,04014-002,Brazil,355030.0,3550308.0,-23.5329,-46.6395
NCT04993014,A.C. Camargo Cancer Center,RECRUITING,Sao Paulo,SP,01525-001,Brazil,355030.0,3550308.0,-23.5329,-46.6395
NCT06211764,Fundacao Pio XII,ACTIVE_NOT_RECRUITING,Barretos,SP,14784-400,Brazil,350550.0,3505500.0,-20.5531,-48.5698
NCT06211764,NAIC Nair Antunes Instituto do Cancer,COMPLETED,Bauru,SP,17030-495,Brazil,350600.0,3506003.0,-22.3246,-49.0871
NCT06211764,Hospital das Clinicas da Universidade Estadual de Campinas UNICAMP,ACTIVE_NOT_RECRUITING,Campinas,SP,13083-872,Brazil,350950.0,3509502.0,-22.9053,-47.0659
NCT06211764,Liga Paranaense de Combate ao Cancer,ACTIVE_NOT_RECRUITING,Curitiba,PR,81520 060,Brazil,410690.0,4106902.0,-25.4195,-49.2646
NCT06211764,Irmandade Santa Casa de Misericordia de Porto Alegre,ACTIVE_NOT_RECRUITING,Porto Alegre,RS,90020-090,Brazil,431490.0,4314902.0,-30.0318,-51.2065
NCT06211764,Hospital da Bahia,RECRUITING,Salvador,BA,41810-011,Brazil,292740.0,2927408.0,-12.9718,-38.5011
NCT06211764,Sociedade Beneficente de Senhoras Hospital Sirio Libanes,ACTIVE_NOT_RECRUITING,Sao Paulo,SP,01308 901,Brazil,355030.0,3550308.0,-23.5329,-46.6395
